Unit Code,Unit Name,Unit Type,State, Visitors ,YearRaw
APCO,Appomattox Court House National Historical Park,National Historical Park,VA,"13,847,406",Total
BAND,Bandelier National Monument,National Monument,NM,"13,779,272",Total
BLCA,Black Canyon of the Gunnison National Park,National Park,CO,"13,686,363",Total
GRSA,Great Sand Dunes National Park,National Park,CO,"13,526,909",Total
GRSA,Great Sand Dunes National Preserve,National Preserve,CO,"13,526,909",Total
CRMO,Craters of the Moon National Monument,National Monument,ID,"13,044,205",Total
GREE,Greenbelt Park,Other Designation,MD,"12,785,203",Total
FONE,Fort Necessity National Battlefield,National Battlefield,PA,"12,390,571",Total
CHIS,Channel Islands National Park,National Park,CA,"12,352,355",Total
GLBA,Glacier Bay National Park,National Park,AK,"11,949,920",Total
GLBA,Glacier Bay National Preserve,National Preserve,AK,"11,949,920",Total
DESO,De Soto National Memorial,National Memorial,FL,"11,426,649",Total
ROLA,Ross Lake National Recreation Area,National Recreation Area,WA,"11,335,924",Total
WUPA,Wupatki National Monument,National Monument,AZ,"11,163,242",Total
MOJA,Mojave National Preserve,National Preserve,CA,"10,594,537",Total
PINN,Pinnacles National Park,National Park,CA,"10,492,968",Total
HEHO,Herbert Hoover National Historic Site,National Historic Site,IA,"10,342,578",Total
FEHA,Federal Hall National Memorial,National Memorial,NY,"9,876,807",Total
STRI,Stones River National Battlefield,National Battlefield,TN,"9,788,152",Total
LYJO,Lyndon B. Johnson National Historical Park,National Historical Park,TX,"9,764,783",Total
SCBL,Scotts Bluff National Monument,National Monument,NE,"9,712,303",Total
NEPE,Nez Perce National Historical Park,National Historical Park,WA,"9,566,104",Total
LEWI,Lewis and Clark National Historical Park,National Historical Park,WA,"9,515,314",Total
BOAF,Boston African American National Historic Site,National Historic Site,MA,"9,225,095",Total
UPDE,Upper Delaware Scenic and Recreational River,Scenic and Recreational River,PA,"9,151,018",Total
PEVI,Perry's Victory and International Peace Memorial,National Memorial,OH,"8,978,923",Total
VOYA,Voyageurs National Park,National Park,MN,"8,861,822",Total
LIBO,Lincoln Boyhood National Memorial,National Memorial,IN,"8,787,121",Total
GEWA,George Washington Birthplace National Monument,National Monument,VA,"8,779,227",Total
FOCA,Fort Caroline National Memorial,National Memorial,FL,"8,345,789",Total
TICA,Timpanogos Cave National Monument,National Monument,UT,"8,286,685",Total
SARA,Saratoga National Historical Park,National Historical Park,NY,"8,228,453",Total
SITK,Sitka National Historical Park,National Historical Park,AK,"7,947,795",Total
ORCA,Oregon Caves National Monument and Preserve,National Monument,OR,"7,866,349",Total
CAGR,Casa Grande Ruins National Monument,National Monument,AZ,"7,810,317",Total
OCMU,Ocmulgee National Monument,National Monument,GA,"7,558,072",Total
HOFU,Hopewell Furnace National Historic Site,National Historic Site,PA,"7,532,506",Total
PIPE,Pipestone National Monument,National Monument,MN,"7,531,121",Total
CHAM,Chamizal National Memorial,National Memorial,TX,"7,470,898",Total
GUMO,Guadalupe Mountains National Park,National Park,TX,"7,211,673",Total
WICR,Wilson's Creek National Battlefield,National Battlefield,MO,"7,157,248",Total
PISC,Piscataway Park,Other Designation,MD,"7,112,797",Total
KEFJ,Kenai Fjords National Park,National Park,AK,"7,067,013",Total
RABR,Rainbow Bridge National Monument,National Monument,UT,"7,007,990",Total
LABE,Lava Beds National Monument,National Monument,CA,"6,870,346",Total
COWP,Cowpens National Battlefield,National Battlefield,SC,"6,772,190",Total
WACA,Walnut Canyon National Monument,National Monument,AZ,"6,605,855",Total
ANDE,Andersonville National Historic Site,National Historic Site,GA,"6,513,701",Total
PAAV,Pennsylvania Avenue National Historic Site,National Historic Site,DC,"6,442,966",Total
APIS,Apostle Islands National Lakeshore,National Lakeshore,WI,"6,315,921",Total
HUTR,Hubbell Trading Post National Historic Site,National Historic Site,AZ,"6,197,119",Total
JECA,Jewel Cave National Monument,National Monument,SD,"6,103,253",Total
DEPO,Devils Postpile National Monument,National Monument,CA,"6,079,064",Total
GEGR,General Grant National Memorial,National Memorial,NY,"5,959,659",Total
SAHI,Sagamore Hill National Historic Site,National Historic Site,NY,"5,778,707",Total
TUZI,Tuzigoot National Monument,National Monument,AZ,"5,706,971",Total
OBRI,Obed Wild and Scenic River,Wild and Scenic River,TN,"5,661,696",Total
GERO,George Rogers Clark National Historical Park,National Historical Park,IN,"5,604,410",Total
THIS,Theodore Roosevelt Island,National Memorial,DC,"5,602,184",Total
PERI,Pea Ridge National Military Park,National Military Park,AR,"5,516,360",Total
TUIN,Tuskegee Institute National Historic Site,National Historic Site,AL,"5,487,784",Total
EFMO,Effigy Mounds National Monument,National Monument,IA,"5,185,912",Total
NEBE,New Bedford Whaling National Historical Park,National Historical Park,MA,"5,115,941",Total
ALPO,Allegheny Portage Railroad National Historic Site,National Historic Site,PA,"5,026,369",Total
JODA,John Day Fossil Beds National Monument,National Monument,OR,"4,958,825",Total
WHMI,Whitman Mission National Historic Site,National Historic Site,WA,"4,934,694",Total
JOFL,Johnstown Flood National Memorial,National Memorial,PA,"4,863,668",Total
NATC,Natchez National Historical Park,National Historical Park,MS,"4,818,689",Total
CHRI,Christiansted National Historic Site,National Historic Site,VI,"4,805,816",Total
FOLA,Fort Laramie National Historic Site,National Historic Site,WY,"4,764,617",Total
WAPA,War in the Pacific National Historical Park,War in the Pacific,GU,"4,752,911",Total
ADAM,Adams National Historical Park,National Historical Park,MA,"4,741,356",Total
HOBE,Horseshoe Bend National Military Park,National Military Park,AL,"4,656,085",Total
FOSM,Fort Smith National Historic Site,National Historic Site,AR,"4,642,858",Total
NABR,Natural Bridges National Monument,National Monument,UT,"4,509,201",Total
TUMA,Tumacacori National Historical Park,National Historical Park,AZ,"4,054,113",Total
CORO,Coronado National Memorial,National Memorial,AZ,"3,996,485",Total
CHIR,Chiricahua National Monument,National Monument,AZ,"3,962,885",Total
GARI,Gauley River National Recreation Area,National Recreation Area,WV,"3,962,873",Total
TONT,Tonto National Monument,National Monument,AZ,"3,955,070",Total
AZRU,Aztec Ruins National Monument,National Monument,NM,"3,941,348",Total
CAVO,Capulin Volcano National Monument,National Monument,NM,"3,878,913",Total
GOIS,Governors Island National Monument,National Monument,NY,"3,843,259",Total
GRBA,Great Basin National Park,National Park,NV,"3,770,774",Total
ANJO,Andrew Johnson National Historic Site,National Historic Site,TN,"3,727,887",Total
GRPO,Grand Portage National Monument,National Monument,MI,"3,651,067",Total
FODA,Fort Davis National Historic Site,National Historic Site,TX,"3,536,669",Total
EISE,Eisenhower National Historic Site,National Historic Site,PA,"3,458,807",Total
NAVA,Navajo National Monument,National Monument,AZ,"3,399,225",Total
STEA,Steamtown National Historic Site,National Historic Site,PA,"3,345,839",Total
BITH,Big Thicket National Preserve,National Preserve,TX,"3,318,511",Total
